Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Студия,8500000,0,31.0,18.0,1.0,2.75,16,17,Кирпично-Монолитный,Приморский,Пионерская,0.7
Квартира,16600000,4,110.7,62.2,15.0,2.65,21,22,Монолитно-панельный,Приморский,Пионерская,1.4
Квартира,4100000,1,27.5,12.9,8.41,,10,16,Кирпично-Монолитный,Всеволожский,Девяткино,2.0
Квартира,7690000,3,55.9,37.5,6.8,2.5,2,5,Панельный,Калининский,Академическая,1.8
Квартира,28500000,5,131.3,87.4,10.7,3.42,3,4,Кирпичный,Центральный,Чернышевская,0.2
Квартира,10000000,2,46.4,29.0,8.0,2.6,2,9,Кирпичный,Московский,Звездная,0.9
Квартира,18870000,2,58.1,29.5,17.0,2.6,6,6,Кирпичный,Центральный,Чернышевская,0.4
Квартира,11999000,2,55.0,28.0,10.5,2.6,20,27,Кирпично-Монолитный,Выборгский,Парнас,1.8
Квартира,11500000,1,43.2,24.7,9.1,2.5,5,5,Индивидуальный,Московский,Московская,
Квартира,5800000,1,54.8,23.0,14.5,2.64,12,25,Индивидуальный,Выборгский,,
Квартира,6600000,1,38.8,17.0,10.0,,19,20,Кирпично-Монолитный,Приморский,Комендантский  проспект,4.2
Квартира,6700000,1,36.0,16.0,12.3,2.5,7,13,Индивидуальный,Всеволожский,,
Квартира,10100000,3,67.3,45.0,9.0,2.64,7,10,Панельный,Калининский,,
Квартира,6200000,1,32.3,14.26,9.96,2.5,10,13,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,5999000,1,31.1,15.6,8.1,2.5,3,9,600.11 серия,Выборгский,Проспект Просвещения,1.5
Студия,4290000,0,28.0,14.2,,3.25,5,5,Кирпично-Монолитный,Московский,Московская,9.8
Студия,4730000,0,24.41,15.4,,3.8,2,5,Монолитно-панельный,Пушкинский,Шушары,13.8
Студия,6099000,0,27.1,17.0,3.0,2.55,6,22,Индивидуальный,Красногвардейский,,
Квартира,4499000,1,32.0,15.0,10.0,3.0,9,9,Монолит,Пушкинский,Купчино,9.6
Квартира,6300000,2,44.6,29.3,5.0,2.5,4,5,602 серия,Пушкинский,Купчино,2.0
Квартира,9300000,1,35.0,17.0,9.0,2.78,1,5,Индивидуальный,Пушкинский,Московская,16.2
Квартира,11499000,3,79.5,47.3,14.7,2.55,7,12,137 серия,Невский,Рыбацкое,0.8
Квартира,4780000,1,38.8,15.6,3.0,2.75,9,21,Монолит,Фрунзенский,Купчино,0.1
Квартира,18760000,2,78.4,32.5,21.6,2.75,4,4,Кирпично-Монолитный,Фрунзенский,Волковская,0.5
Квартира,35850000,3,102.6,63.0,16.4,3.0,7,7,Кирпично-Монолитный,Центральный,Чернышевская,2.0
Квартира,3600000,1,35.2,17.0,10.0,2.6,2,3,Монолит,Всеволожский,Девяткино,24.5
Квартира,8700000,2,57.8,31.1,10.4,2.64,2,10,Индивидуальный,Всеволожский,,
Квартира,14000000,3,90.5,49.5,9.2,2.52,2,5,Кирпичный,Петродворцовый,Автово,22.5
Квартира,7800000,2,52.0,30.0,7.0,,8,9,Панельный,Невский,Улица Дыбенко,1.5
Квартира,8650000,1,54.0,22.0,13.0,2.5,3,22,Индивидуальный,Выборгский,,
Студия,4620000,0,25.4,10.0,,,10,23,Монолит,Всеволожский,Ломоносовская,6.3
Квартира,6150000,1,33.8,18.0,8.0,2.57,8,13,Кирпичный,Красносельский,Проспект Ветеранов,4.4
Квартира,8700000,3,73.6,47.13,11.77,2.87,13,20,Кирпично-Монолитный,Всеволожский,Девяткино,1.6
Студия,7990000,0,27.7,18.0,2.0,3.0,2,9,Индивидуальный,Выборгский,,
Студия,4500000,0,21.1,15.29,1.0,2.75,7,24,Индивидуальный,Приморский,,
Квартира,8700000,2,37.1,9.9,15.0,3.0,14,25,Кирпично-Монолитный,Приморский,Беговая,
Квартира,6050000,2,43.9,25.0,8.1,,1,7,Кирпично-Монолитный,Всеволожский,,
Студия,4900000,0,25.0,15.0,5.0,2.7,19,25,Монолит,Приморский,Комендантский  проспект,3.9
Квартира,21500000,3,89.9,45.0,12.0,2.5,3,22,Индивидуальный,Московский,Московская,
Квартира,7950000,3,63.1,45.9,6.3,,1,9,Корабль,Кировский,Ленинский  проспект,1.1
Квартира,5400000,2,33.6,25.6,6.6,2.95,1,6,Старый фонд (СФ),Василеостровский,Василеостровская,0.6
Квартира,11490000,2,54.6,29.8,10.0,2.64,14,15,Индивидуальный,Невский,,
Квартира,4700000,1,33.2,15.0,10.3,,11,18,Кирпично-Монолитный,Всеволожский,Девяткино,1.1
Студия,4999000,0,24.6,16.2,,2.75,5,16,Монолит,Невский,Ломоносовская,1.7
Квартира,3700000,2,45.5,28.9,7.0,,5,5,Кирпичный,Приозерский,Парнас,108.3
Квартира,10000000,3,70.8,46.4,6.9,2.5,11,12,137 серия,Калининский,Гражданский  проспект,
Квартира,6050000,1,34.8,14.0,10.0,2.5,2,15,Индивидуальный,Всеволожский,,
