Тип,Цена (₽),Комнаты,Площадь (м²),Жилая площадь (м²),Площадь кухни (м²),Потолок,Этаж,Всего этажей в доме,Стены,Район,Метро,Расстояние до метро (км)
Квартира,14315000,2,57.3,36.0,11.0,2.7,3,16,Монолит,Приморский,,
Квартира,14000000,2,66.8,32.59,12.21,2.7,5,19,Кирпично-Монолитный,Приморский,Пионерская,0.6
Квартира,2350000,3,42.0,31.6,4.0,2.5,3,3,Кирпичный,Выборгский,Беговая,57.7
Студия,4250000,0,24.7,16.4,,2.68,24,26,Монолит,Невский,Улица Дыбенко,2.3
Квартира,8900000,3,57.4,39.2,6.2,2.55,2,10,Индивидуальный,Невский,,
Квартира,12499000,3,64.0,35.6,6.8,2.5,1,5,Кирпичный,Московский,Парк Победы,1.5
Квартира,10250000,3,71.9,48.2,8.5,2.57,7,9,606 серия,Невский,Рыбацкое,0.9
Квартира,12500000,4,108.4,78.4,20.0,,3,3,Кирпичный,Центральный,Звенигородская,0.5
Студия,7299000,0,33.9,20.0,,3.1,4,16,Кирпично-Монолитный,Выборгский,Черная речка,1.4
Квартира,47990000,5,148.8,102.5,19.0,3.28,5,5,Старый фонд (СФ),Петроградский,Спортивная,0.7
Квартира,5500000,1,44.0,17.0,14.0,,4,9,Панельный,Всеволожский,,
Квартира,3515000,1,32.2,14.89,10.69,2.8,4,4,Монолит,Гатчинский,Проспект Ветеранов,25.7
Студия,5700000,0,24.5,18.0,,2.75,6,15,Кирпично-Монолитный,Невский,Проспект Большевиков,1.9
Студия,4100000,0,25.8,19.0,,2.8,18,20,Кирпично-Монолитный,Всеволожский,Девяткино,1.8
Квартира,14201000,2,65.7,36.4,15.4,2.84,7,15,Кирпично-Монолитный,Невский,Ломоносовская,2.4
Квартира,13500000,3,75.2,51.2,7.0,,1,5,Кирпичный,Приморский,Лесная,0.3
Квартира,13550000,2,77.5,29.5,13.5,2.75,1,16,Индивидуальный,Фрунзенский,Международная,0.7
Квартира,6900000,1,43.8,14.7,19.3,2.7,2,6,Монолит,Всеволожский,Гражданский  проспект,13.4
Квартира,6500000,1,30.0,15.5,6.6,2.6,8,9,Панельный,Приморский,Пионерская,0.3
Квартира,11990000,3,70.3,41.4,7.0,3.02,5,6,Индивидуальный,Адмиралтейский,Технологический институт,1.1
Студия,3550000,0,24.4,15.0,,2.7,4,11,Монолит,Всеволожский,Гражданский  проспект,3.7
Квартира,3550000,1,30.28,16.58,5.5,2.6,4,4,Кирпичный,Всеволожский,Девяткино,7.1
Квартира,14000000,2,72.6,44.5,8.4,3.25,1,4,Кирпичный,Петроградский,Петроградская,0.7
Квартира,38000000,3,105.9,55.0,18.0,3.3,9,10,Кирпично-Монолитный,Адмиралтейский,Технологический институт,0.6
Квартира,13500000,2,50.7,32.4,7.2,3.0,5,6,Индивидуальный,Калининский,Площадь Ленина,
Студия,7000000,0,33.6,33.6,,2.83,4,25,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.3
Квартира,20000000,3,85.6,53.0,12.0,3.25,3,5,Сталинский,Василеостровский,Василеостровская,0.8
Квартира,9650000,1,39.0,17.0,11.0,2.8,13,15,Кирпично-Монолитный,Невский,Проспект Большевиков,2.3
Квартира,18400000,3,83.5,38.29,20.4,,20,20,Кирпично-Монолитный,Невский,Елизаровская,1.1
Квартира,8200000,1,44.0,22.0,10.0,,11,18,Монолит,Кировский,Автово,4.5
Квартира,9350000,1,47.88,9.77,17.65,2.7,7,25,Кирпично-Монолитный,Приморский,Озерки,3.5
Квартира,3500000,1,31.0,15.0,9.0,,3,4,Монолит,Всеволожский,Ладожская,20.3
Квартира,8300000,3,60.0,48.0,6.0,2.6,7,9,Панельный,Кировский,Проспект Ветеранов,3.4
Квартира,9900000,2,50.8,28.6,11.6,2.5,11,27,Индивидуальный,Выборгский,,
Квартира,3700000,4,89.2,18.9,,3.0,20,20,Кирпично-Монолитный,Выборгский,Парнас,0.7
Квартира,15150000,1,39.58,18.42,12.05,,5,9,Кирпично-Монолитный,Петроградский,,
Квартира,9800000,2,59.1,34.0,11.0,2.58,8,10,Панельный,Невский,,
Квартира,12990000,2,47.1,27.1,9.5,3.6,2,5,Кирпичный,Центральный,Чернышевская,0.2
Квартира,8600000,1,37.59,12.03,13.33,,5,15,Монолит,Василеостровский,,
Квартира,4550000,1,36.5,14.23,9.33,2.65,1,16,Панельный,Всеволожский,Ладожская,13.4
Квартира,4400000,1,28.0,13.5,8.0,2.8,5,19,Монолитно-панельный,Всеволожский,,
Квартира,8300000,1,35.0,19.5,8.8,2.55,3,4,Индивидуальный,Курортный,,
Квартира,53900000,4,136.0,82.2,28.0,3.5,3,5,Кирпичный,Центральный,Гостиный Двор,0.4
Квартира,6400000,1,33.0,13.7,9.8,,5,14,Кирпично-Монолитный,Приморский,Комендантский  проспект,4.6
Студия,4350000,0,14.4,12.0,1.0,,1,4,Кирпичный,Василеостровский,Василеостровская,0.7
Квартира,14600000,2,62.9,40.7,7.7,,1,4,Старый фонд (СФ),Центральный,Площадь Восстания,0.5
Квартира,12900000,3,72.4,49.3,7.8,,8,9,Блочный,Невский,Улица Дыбенко,0.6
Квартира,35000000,3,115.7,45.0,50.0,,3,13,Кирпично-Монолитный,Приморский,,
Квартира,6490000,1,28.6,14.4,7.9,2.75,8,24,Индивидуальный,Приморский,Комендантский  проспект,
Квартира,9000000,2,42.0,27.0,6.0,2.64,3,5,Индивидуальный,Московский,Московская,
Квартира,5950000,2,45.4,28.08,6.52,2.58,4,5,Панельный,Невский,Ломоносовская,1.2
Квартира,11000000,3,79.2,51.0,10.0,2.64,2,9,Индивидуальный,Пушкинский,,
Квартира,10100000,3,81.3,53.0,10.0,3.41,3,3,Кирпичный,Кронштадтский,Беговая,23.1
Студия,5400000,0,25.6,18.0,2.0,2.75,20,25,Кирпично-Монолитный,Приморский,Комендантский  проспект,4.3
Квартира,4000000,1,30.1,16.9,5.5,2.5,1,3,Кирпичный,Пушкинский,Московская,17.0
Квартира,11500000,3,64.0,54.0,7.0,2.5,4,12,Индивидуальный,Василеостровский,,
Студия,3950000,0,29.0,19.0,5.0,,26,27,Монолитно-панельный,Выборгский,Парнас,14.3
Квартира,8050000,3,52.5,34.0,6.2,2.64,4,15,Индивидуальный,Красногвардейский,,
Квартира,7320000,1,39.5,14.0,18.0,2.7,12,14,Индивидуальный,Невский,,
Квартира,10400000,2,37.0,24.6,7.0,2.85,1,2,Кирпичный,Василеостровский,Василеостровская,1.1
Квартира,25000000,3,94.6,58.0,16.0,3.2,3,5,Индивидуальный,Василеостровский,,
Квартира,7350000,3,50.0,35.0,6.0,2.55,2,5,Панельный,Калининский,Гражданский  проспект,1.1
Квартира,8420000,1,34.3,10.1,14.2,2.68,21,26,Панельный,Невский,Улица Дыбенко,1.8
Квартира,15790000,4,99.3,64.2,7.4,,3,5,Кирпичный,Петроградский,Горьковская,0.8
Квартира,9500000,3,53.8,40.3,4.6,,2,3,Кирпичный,Курортный,Беговая,18.2
Квартира,5790000,1,33.1,13.0,11.0,2.64,12,25,Индивидуальный,Пушкинский,,
Квартира,10200000,2,54.3,33.6,7.7,,5,5,Кирпичный,Выборгский,Удельная,0.8
Студия,4850000,0,29.2,28.0,,2.8,4,18,Монолит,Всеволожский,Девяткино,1.6
Квартира,6000000,1,42.2,13.1,20.5,2.6,10,16,Монолитно-панельный,Ломоносовский,Проспект Ветеранов,7.2
Квартира,10800000,2,63.0,35.0,10.0,,12,24,Панельный,Красносельский,Автово,5.6
Квартира,2000000,1,35.2,17.0,7.5,,1,5,Панельный,Выборгский,,
Квартира,7850000,2,51.5,6.5,32.9,2.5,2,9,Индивидуальный,Выборгский,,
Квартира,13500000,4,75.4,47.0,8.0,,11,14,Панельный,Красногвардейский,Ладожская,3.2
Квартира,6000000,1,35.0,15.0,9.0,2.5,13,25,Индивидуальный,Всеволожский,,
Квартира,11370000,1,39.1,12.0,18.6,,3,4,Кирпично-Монолитный,Фрунзенский,Волковская,0.5
Квартира,4500000,2,46.0,27.0,6.0,,8,9,Корабль,Кировский,Улица Дыбенко,47.1
Квартира,13500000,1,34.0,13.0,12.0,2.8,9,11,Индивидуальный,Московский,,
Квартира,4900000,1,32.2,15.0,10.0,2.7,15,26,Кирпично-Монолитный,Выборгский,Парнас,1.3
Квартира,9300000,1,65.0,36.8,10.5,2.57,9,9,Панельный,Петродворцовый,Автово,13.1
Квартира,7952000,1,36.9,14.46,9.57,2.7,2,13,Кирпичный,Фрунзенский,Дунайская,0.9
Квартира,12126000,2,60.0,27.0,14.0,2.75,16,25,Кирпичный,Приморский,Пионерская,0.8
Квартира,5400000,1,37.1,15.51,10.0,2.7,6,15,Индивидуальный,Всеволожский,,
Квартира,13500000,2,66.3,37.4,9.4,2.75,17,25,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.9
Квартира,4200000,1,33.0,13.0,8.0,,4,8,Кирпичный,Всеволожский,,
Студия,4500000,0,25.1,16.0,3.0,2.8,15,25,Индивидуальный,Всеволожский,,
Квартира,5799000,1,30.54,14.0,10.0,2.77,3,5,Монолит,Московский,Звездная,8.3
Студия,5500000,0,24.4,17.0,5.0,,4,18,Кирпичный,Красносельский,Автово,7.1
Студия,3110000,0,16.58,12.4,1.0,2.9,1,3,Индивидуальный,Красносельский,,
Квартира,7200000,2,45.0,27.5,7.0,2.5,4,5,Хрущевка,Калининский,Гражданский  проспект,1.2
Квартира,65000000,8,297.5,181.8,22.0,3.3,2,4,Индивидуальный,Адмиралтейский,Садовая,1.3
Квартира,7400000,1,41.5,16.2,9.2,2.6,2,16,Кирпично-Монолитный,Выборгский,Парнас,1.9
Квартира,11600000,3,81.1,50.6,15.2,2.64,3,3,Индивидуальный,Петродворцовый,,
Квартира,6600000,2,42.6,27.5,6.2,2.52,5,5,Панельный,Московский,Парк Победы,0.7
Квартира,20200000,2,91.6,42.8,25.4,3.6,1,7,Индивидуальный,Петроградский,,
Квартира,6000000,2,47.9,26.0,12.0,,5,12,Панельный,Пушкинский,Шушары,7.6
Квартира,7500000,1,43.5,10.5,18.5,,14,14,Кирпично-Монолитный,Выборгский,Проспект Просвещения,4.7
Квартира,7200000,2,46.2,26.8,6.3,2.5,3,9,Индивидуальный,Выборгский,,
Квартира,5900000,2,45.3,29.9,7.0,2.7,3,5,Индивидуальный,Невский,,
Квартира,17300000,4,89.2,57.6,8.6,2.55,1,5,Кирпичный,Курортный,Беговая,17.9
Квартира,12000000,1,38.9,10.0,20.0,2.5,9,16,Индивидуальный,Невский,,
Квартира,7498000,1,34.08,14.05,11.14,2.65,1,17,Кирпично-Монолитный,Московский,Звездная,2.1
Квартира,14965000,2,54.5,31.0,9.2,2.78,13,19,Кирпичный,Московский,Московская,1.8
Квартира,40000000,3,155.8,74.5,18.0,3.0,10,10,Монолит,Василеостровский,Василеостровская,1.8
Квартира,4672000,2,52.82,24.25,16.7,2.7,5,16,Монолит,Всеволожский,Рыбацкое,8.5
Квартира,6400000,1,41.8,15.0,12.7,2.73,2,9,Блочный,Пушкинский,Шушары,10.0
Квартира,14500000,3,108.6,70.2,10.7,2.7,5,5,Старый фонд (СФ),Центральный,Лиговский  проспект,0.4
Квартира,6900000,1,34.5,13.0,11.5,,2,15,Кирпично-Монолитный,Приморский,Комендантский  проспект,4.1
Квартира,23240000,3,93.3,43.7,14.8,2.75,8,12,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Студия,7000000,0,25.0,18.0,,2.75,23,25,Монолит,Приморский,Беговая,5.2
Квартира,11800000,2,60.7,30.1,8.9,3.3,2,4,Кирпичный,Центральный,Чернышевская,0.3
Квартира,6650000,2,44.5,27.5,6.9,2.5,6,9,Панельный,Фрунзенский,Международная,1.2
Квартира,9000000,3,60.0,41.7,7.0,,8,9,Панельный,Невский,Улица Дыбенко,1.6
Квартира,6630000,1,37.5,19.5,9.8,,2,16,Панельный,Кировский,Автово,
Квартира,5390000,1,30.8,15.5,8.0,2.59,22,24,Кирпично-Монолитный,Невский,Ломоносовская,4.1
Квартира,1250000,2,41.5,24.3,8.2,2.6,2,2,Деревянный,Приозерский,Парнас,106.9
Студия,7000000,0,34.0,18.0,5.0,2.7,19,25,Кирпично-Монолитный,Калининский,Лесная,1.6
Квартира,6598000,2,54.3,31.0,10.6,2.7,2,3,Панельный,Всеволожский,Парнас,12.5
Студия,3289000,0,22.1,11.0,4.0,2.8,14,20,Индивидуальный,Выборгский,,
Квартира,6700000,1,44.1,21.2,12.1,2.7,16,25,Кирпично-Монолитный,Всеволожский,Улица Дыбенко,2.2
Квартира,10500000,3,76.6,45.1,10.8,2.64,1,7,Индивидуальный,Калининский,Площадь Ленина,
Квартира,16000000,4,120.0,79.2,25.3,3.25,3,6,Кирпичный,Центральный,Площадь Восстания,1.0
Квартира,11900000,3,74.4,44.0,10.8,,2,5,Кирпичный,Петродворцовый,Проспект Ветеранов,17.4
Квартира,6900000,2,46.0,30.0,7.0,2.5,6,10,Панельный,Приморский,Беговая,4.4
Квартира,9900000,3,71.9,43.6,8.5,2.65,3,10,606 серия,Невский,Улица Дыбенко,1.1
Квартира,7230000,1,46.6,18.5,12.5,2.64,3,10,504 серия,Приморский,Комендантский  проспект,
Студия,4400000,0,20.4,14.0,3.0,2.7,6,19,Монолит,Всеволожский,Девяткино,1.3
Квартира,12700000,3,88.6,43.6,10.7,2.87,1,4,Монолит,Всеволожский,Парнас,8.8
Квартира,12000000,3,80.5,49.2,10.4,2.64,2,6,Индивидуальный,Калининский,Площадь Ленина,
Квартира,5970000,1,44.0,17.0,10.5,2.8,9,10,Панельный,Всеволожский,,
Квартира,7149000,1,38.4,18.0,11.0,2.5,4,17,Индивидуальный,Московский,,
Квартира,8300000,1,41.0,19.0,10.4,,11,25,Монолит,Московский,Проспект Славы,1.2
Квартира,11400000,4,76.8,54.0,9.4,,9,9,602 серия,Фрунзенский,Купчино,1.4
Квартира,7190000,2,43.0,26.7,7.0,2.55,3,5,Панельный,Калининский,Академическая,1.4
Студия,7000000,0,25.66,18.38,2.0,2.5,4,12,Индивидуальный,Московский,Московская,
Квартира,5200000,1,38.0,16.9,9.3,2.7,2,12,Монолит,Всеволожский,Ладожская,8.2
Квартира,8500000,1,39.8,19.4,12.6,2.85,11,12,Кирпично-Монолитный,Красносельский,Проспект Ветеранов,6.0
Квартира,14350000,3,76.8,35.0,10.1,2.7,2,12,Индивидуальный,Московский,Московская,
Квартира,6600000,1,41.8,16.6,13.7,2.7,13,18,Монолит,Красногвардейский,Гражданский  проспект,1.8
Квартира,6100000,1,33.2,15.8,8.5,2.7,19,19,Индивидуальный,Красногвардейский,,
Квартира,8700000,2,46.3,28.8,7.6,,6,9,Кирпичный,Калининский,Академическая,0.4
Квартира,21975000,3,104.0,44.0,15.0,2.75,23,24,Кирпичный,Приморский,Пионерская,0.7
Студия,10400000,0,31.5,17.0,3.5,2.75,12,20,Индивидуальный,Приморский,,
Квартира,8000000,1,32.3,18.0,6.71,2.75,14,16,Индивидуальный,Калининский,,
Квартира,17750000,2,56.1,26.6,13.2,2.8,7,14,Кирпично-Монолитный,Приморский,Лесная,1.0
Квартира,8450000,2,50.7,27.2,10.8,2.7,21,25,Панельный,Красногвардейский,Гражданский  проспект,4.6
Квартира,16560000,2,55.8,27.9,11.5,2.8,11,13,Монолит,Приморский,Лесная,1.2
Квартира,7000000,1,40.0,12.0,12.0,2.5,1,9,Индивидуальный,Петродворцовый,,
Квартира,6000000,1,37.4,15.1,14.8,2.5,1,25,Индивидуальный,Красногвардейский,,
Квартира,7030000,3,85.6,55.4,13.7,3.0,1,4,Монолит,Всеволожский,Ладожская,29.2
Квартира,12000000,1,46.2,27.4,8.4,2.5,16,17,Индивидуальный,Приморский,,
Студия,5100000,0,23.07,11.86,,2.6,8,14,Кирпично-Монолитный,Кировский,Кировский завод,0.2
Квартира,9000000,2,55.7,32.1,8.7,2.75,10,21,Панельный,Приморский,Комендантский  проспект,3.0
Квартира,14900000,1,36.0,11.0,12.0,2.8,3,10,Индивидуальный,Московский,,
Квартира,7800000,1,34.1,10.2,15.4,2.5,15,26,Индивидуальный,Невский,,
Квартира,6400000,2,45.7,30.0,6.0,2.55,5,5,Индивидуальный,Красногвардейский,,
Квартира,6450000,1,40.7,10.55,17.7,2.6,4,24,Монолитно-панельный,Выборгский,Парнас,0.8
Квартира,12000000,3,82.5,48.8,11.0,2.8,3,10,Кирпично-Монолитный,Красносельский,Проспект Ветеранов,6.5
Квартира,3750000,2,54.0,29.7,8.4,2.5,4,5,121 серия,Волосовский,Автово,62.8
Квартира,34110000,4,133.8,60.7,16.7,2.75,12,13,Монолит,Приморский,Черная речка,1.2
Квартира,13239000,1,58.84,23.9,16.1,,3,6,Монолит,Выборгский,Парнас,2.4
Квартира,4990000,1,32.5,16.0,8.0,,15,18,Монолитно-панельный,Всеволожский,Девяткино,1.5
Квартира,45000000,3,135.5,89.8,31.6,3.62,3,5,Кирпичный,Центральный,Чернышевская,1.1
Квартира,10500000,2,56.8,35.6,7.6,2.5,14,14,Кирпичный,Московский,Звездная,1.3
Квартира,14100000,2,88.0,39.5,16.6,2.8,2,15,Кирпичный,Кировский,Нарвская,4.8
Квартира,11950000,3,77.8,42.5,7.8,2.7,3,5,Ст.Фонд Кап.Рем.,Адмиралтейский,Балтийская,0.8
Квартира,4700000,2,64.0,35.5,15.0,,1,2,Кирпично-Монолитный,Всеволожский,Ладожская,28.6
Квартира,12500000,4,88.8,60.1,7.8,2.5,1,9,Индивидуальный,Красногвардейский,,
Квартира,24990000,3,170.5,83.0,31.8,2.8,15,16,Кирпично-Монолитный,Выборгский,Проспект Просвещения,1.4
Студия,3800000,0,24.2,18.0,5.0,2.75,10,16,Монолит,Кировский,Улица Дыбенко,30.7
Квартира,5200000,2,43.8,28.6,5.3,,5,5,Кирпичный,Петродворцовый,Беговая,25.3
Квартира,8400000,1,41.0,14.0,16.0,2.8,12,22,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.8
Квартира,7550000,2,46.8,27.1,7.6,2.55,7,9,Кирпичный,Петродворцовый,Проспект Ветеранов,22.1
Квартира,47000000,4,140.0,66.64,20.61,3.0,5,7,Кирпично-Монолитный,Петроградский,Крестовский остров,1.3
Квартира,18700000,3,104.0,60.0,15.0,2.8,1,11,Монолит,Выборгский,Лесная,1.6
Квартира,5750000,1,33.6,17.0,10.0,,5,8,Индивидуальный,Красносельский,Проспект Ветеранов,8.8
Квартира,5450000,2,45.0,27.0,6.3,2.55,3,9,Панельный,Петродворцовый,Автово,27.6
Квартира,14700000,2,71.1,33.9,13.0,,2,7,Кирпично-Монолитный,Курортный,,
Квартира,6400000,1,34.4,13.0,12.3,2.7,9,16,Монолит,Выборгский,Площадь Мужества,0.9
Студия,6769000,0,23.78,17.0,,2.5,21,26,Монолит,Московский,Московская,1.2
Квартира,4779000,2,47.2,28.3,8.6,2.6,2,5,Хрущевка,Всеволожский,Проспект Просвещения,12.5
Квартира,4000000,3,61.3,41.3,7.7,3.15,1,2,Кирпичный,Ломоносовский,Парнас,52.7
Студия,8048000,0,28.93,20.66,,2.7,12,25,Кирпично-Монолитный,Приморский,Проспект Просвещения,3.2
Квартира,5500000,3,50.0,37.5,5.0,3.0,2,2,Блочный,Колпинский,Рыбацкое,4.4
Квартира,8000000,2,51.1,30.0,8.0,2.55,2,9,606 серия,Красногвардейский,Ладожская,3.3
Квартира,5650000,1,32.0,15.0,10.0,2.72,1,5,Индивидуальный,Московский,Московская,
Квартира,11500000,1,39.9,20.0,15.0,2.75,4,5,Индивидуальный,Адмиралтейский,,
Квартира,7350000,1,35.5,14.0,10.0,2.8,14,15,Кирпично-Монолитный,Невский,Елизаровская,1.3
Квартира,9500000,2,57.5,29.9,11.4,2.64,3,10,504 серия,Приморский,Комендантский  проспект,
Квартира,7990000,2,53.2,32.2,8.2,3.0,4,4,Кирпичный,Красногвардейский,Ладожская,4.0
Квартира,8750000,2,41.8,27.2,5.8,2.5,2,3,Кирпичный,Пушкинский,Купчино,12.9
Студия,7800000,0,20.9,17.0,1.0,,1,5,Кирпичный,Василеостровский,Василеостровская,1.2
Квартира,14199000,2,62.0,35.0,12.71,2.75,8,24,Индивидуальный,Выборгский,,
Квартира,7000000,1,39.3,17.6,10.8,2.75,17,26,Индивидуальный,Всеволожский,,
Квартира,8150000,1,39.6,20.7,10.6,2.68,12,25,Индивидуальный,Калининский,Лесная,2.0
Квартира,6700000,1,44.4,18.0,13.0,2.64,9,10,Индивидуальный,Приморский,Комендантский  проспект,
Студия,5000000,0,24.68,17.95,,2.75,4,23,Кирпично-Монолитный,Пушкинский,Купчино,1.9
Квартира,6700000,2,50.0,30.0,8.0,,8,9,Панельный,Всеволожский,,
Квартира,25500000,3,102.0,54.9,23.6,3.3,2,5,Кирпичный,Адмиралтейский,Технологический институт,0.7
Квартира,19000000,4,91.5,55.1,11.4,3.05,5,6,Индивидуальный,Адмиралтейский,,
Студия,3700000,0,28.1,21.01,3.0,,4,16,Монолитно-панельный,Всеволожский,Девяткино,2.0
Студия,5140000,0,22.74,15.42,3.0,2.74,12,18,Индивидуальный,Московский,,
Квартира,17100000,2,65.7,33.5,10.5,2.72,7,12,Кирпичный,Василеостровский,Приморская,0.9
Квартира,38300000,3,79.8,32.97,27.0,2.8,5,9,Монолит,Петроградский,Крестовский остров,1.4
Квартира,6690000,2,42.0,26.6,6.1,2.5,5,5,Панельный,Московский,Звездная,1.6
Квартира,9200000,1,38.4,20.0,10.0,2.67,5,12,Панельный,Приморский,Комендантский  проспект,0.6
Квартира,19700000,5,120.6,70.3,20.5,2.75,12,23,Кирпичный,Всеволожский,Улица Дыбенко,2.2
Квартира,11592000,1,42.8,15.08,11.93,2.75,5,14,Кирпично-Монолитный,Приморский,Лесная,1.0
Квартира,11140000,1,43.6,14.9,14.6,2.7,8,20,Кирпично-Монолитный,Приморский,Комендантский  проспект,3.5
Квартира,9400000,2,58.6,38.0,5.4,2.64,3,6,Индивидуальный,Калининский,,
Квартира,21850000,4,95.91,63.84,13.41,3.1,2,4,Кирпичный,Центральный,Площадь Александра Невского,0.6
Квартира,19990000,3,89.8,53.8,11.7,2.55,4,13,Кирпичный,Кировский,Московская,1.1
Квартира,8800000,1,42.6,20.0,11.1,,16,20,Кирпично-Монолитный,Приморский,Комендантский  проспект,2.6
Студия,4800000,0,25.59,16.27,6.0,2.75,15,24,Кирпично-Монолитный,Приморский,Комендантский  проспект,
Квартира,10750000,2,76.0,38.0,24.0,2.62,9,16,Индивидуальный,Всеволожский,,
Квартира,6550000,2,42.2,27.1,6.2,2.6,5,5,Хрущевка,Калининский,Академическая,1.2
Квартира,31979000,6,113.8,83.0,15.0,2.5,2,5,Индивидуальный,Центральный,,
Квартира,3750000,1,40.0,18.0,8.0,2.5,3,3,Кирпичный,Красносельский,Проспект Ветеранов,21.6
Квартира,7800000,2,63.7,34.3,10.5,2.85,12,25,Индивидуальный,Выборгский,,
Квартира,7500000,2,51.0,29.8,10.0,2.6,3,3,Кирпично-Монолитный,Выборгский,Беговая,43.0
Квартира,11000000,3,60.4,43.4,6.2,,2,9,Панельный,Выборгский,Озерки,0.4
Квартира,7900000,2,52.5,31.3,9.5,2.64,5,12,Индивидуальный,Пушкинский,,
Квартира,22950000,2,72.0,34.0,16.4,3.0,1,6,Индивидуальный,Петроградский,,
Квартира,5999000,1,37.0,12.58,13.4,2.75,7,9,Кирпично-Монолитный,Ломоносовский,Проспект Ветеранов,9.9
Квартира,12200000,3,70.4,47.4,7.7,,9,9,Панельный,Калининский,Гражданский  проспект,0.5
Квартира,20700000,4,91.0,50.8,13.0,2.92,7,7,Кирпичный,Петроградский,Петроградская,0.1
Квартира,6000000,3,64.6,44.9,7.1,2.8,1,2,Кирпичный,Выборгский,Парнас,5.1
Квартира,21990000,3,79.0,55.0,20.0,2.8,5,8,Индивидуальный,Выборгский,Площадь Ленина,
Квартира,5485000,1,41.1,12.2,20.2,2.75,9,12,Монолитно-панельный,Всеволожский,Улица Дыбенко,9.5
Квартира,6750000,1,41.2,19.1,8.7,2.5,15,15,Индивидуальный,Невский,,
Квартира,19000000,2,60.0,31.7,12.5,3.1,2,5,Кирпично-Монолитный,Московский,Фрунзенская,0.6
Квартира,11500000,3,58.0,36.1,5.8,2.5,1,7,Корабль,Калининский,Академическая,0.8
Квартира,6290000,1,29.3,15.4,7.13,2.5,5,9,Кирпичный,Кировский,Проспект Ветеранов,0.1
Квартира,8300000,1,40.8,16.51,12.8,2.7,19,26,Монолитно-панельный,Приморский,Пионерская,0.4
Квартира,7900000,1,50.35,29.36,12.98,2.7,2,25,Кирпично-Монолитный,Всеволожский,Девяткино,0.4
Квартира,9247000,1,63.1,13.92,26.22,3.0,1,4,Кирпично-Монолитный,Пушкинский,Купчино,8.7
Квартира,10000000,2,51.8,28.4,8.0,2.65,7,12,Панельный,Приморский,Беговая,0.7
Студия,5550000,0,22.8,15.37,5.0,2.75,14,22,Индивидуальный,Всеволожский,,
Квартира,21500000,3,92.5,56.9,14.2,3.06,4,14,Индивидуальный,Московский,Парк Победы,0.9
Квартира,35000000,2,87.0,42.9,16.2,3.0,4,8,Монолит,Петроградский,Крестовский остров,1.1
Квартира,8500000,2,54.8,30.9,10.0,,13,17,Блочный,Фрунзенский,Международная,1.1
Квартира,12600000,2,57.65,29.43,15.63,2.75,2,13,Кирпично-Монолитный,Приморский,Лесная,1.2
Квартира,20200000,2,84.5,38.2,24.5,,2,14,Кирпично-Монолитный,Приморский,Лесная,1.4
Квартира,6600000,2,45.5,27.0,7.4,2.57,1,5,Панельный,Невский,Ломоносовская,2.0
Квартира,6300000,2,44.0,26.0,6.0,,5,5,Кирпичный,Петродворцовый,Ленинский  проспект,23.1
Квартира,4700000,2,43.6,30.9,5.0,2.6,3,5,Панельный,Кировский,Рыбацкое,18.1
Квартира,5500000,1,28.3,13.9,6.5,,9,9,Кирпичный,Колпинский,Рыбацкое,11.5
Квартира,5500000,1,38.7,16.0,10.0,2.65,10,19,Индивидуальный,Пушкинский,,
Квартира,4700000,1,32.2,17.7,5.8,2.5,4,5,Кирпичный,Кронштадтский,Беговая,24.3
Квартира,8550000,1,40.6,17.8,10.9,3.0,13,24,Индивидуальный,Красносельский,,
Студия,4200000,0,24.6,15.6,3.0,2.8,17,26,Индивидуальный,Всеволожский,,
Квартира,10830000,1,47.63,13.67,17.31,2.7,14,25,Индивидуальный,Выборгский,,
Квартира,7999000,1,35.4,18.0,10.4,2.6,7,12,Кирпичный,Красногвардейский,Новочеркасская,1.2
Квартира,11000000,2,61.0,29.5,8.7,2.55,10,17,Панельный,Московский,Звездная,1.5
Квартира,9970000,2,51.0,31.5,6.2,2.5,3,9,606 серия,Калининский,Академическая,0.9
Квартира,16000000,3,90.5,50.0,13.9,2.64,7,17,Индивидуальный,Невский,,
Квартира,8700000,2,55.0,28.0,11.0,2.0,6,7,Монолит,Всеволожский,Ладожская,16.6
Квартира,8500000,3,69.9,38.08,13.46,2.7,14,17,Индивидуальный,Всеволожский,,
Квартира,17180000,2,62.0,31.7,15.1,2.75,3,13,Монолит,Приморский,Лесная,1.2
Квартира,7490000,1,37.6,17.3,10.4,,4,12,Кирпично-Монолитный,Кировский,Проспект Ветеранов,7.9
Студия,4100000,0,28.3,20.86,1.0,2.6,24,27,Индивидуальный,Выборгский,,
Квартира,6200000,1,32.6,15.0,10.0,2.7,2,15,Кирпично-Монолитный,Всеволожский,Улица Дыбенко,17.2
Квартира,7000000,3,69.1,34.8,12.2,2.65,7,14,Панельный,Всеволожский,Девяткино,1.7
Квартира,12800000,3,90.8,53.2,15.9,2.79,1,22,Индивидуальный,Невский,,
Квартира,11500000,1,46.8,20.0,11.0,,8,16,Кирпично-Монолитный,Выборгский,Приморская,0.5
